System,FountainType,Position,Painted,GISPropNum,PropName,OMPPropID,Borough,FountainCount,Department,District,FeatureStatus,Point
B028-DF0657,A,In Playground,NO,B028,Dyker Beach Park,B028-ZN01,B,1,B-10,A-Dyker Beach Park-Dyker Beach Park Zone 1,Active,POINT (-74.016905 40.607124)
B217-DF0436,A,"In Playground, Near Ballfield",YES,B217,Marcy Playground,B217,B,1,B-03,A-Marcy Playground,Active,POINT (-73.951848 40.695211)
M283-DF0185,Other,Under Tree,YES,M283,Battery Park City,M283,M,1,M-01,Other-Battery Park City,Active,POINT (-74.01732 40.714483)
B028-DF0860,A,Near Ballfield,NO,B028,Dyker Beach Park,B028-ZN02,B,1,B-10,A-Dyker Beach Park-Dyker Beach Park Zone 2,Active,POINT (-74.013728 40.611368)
R031-DF0175,D,,,R031,Wolfe's Pond Park,R031-ZN02,R,1,R-03,D-Wolfe's Pond Park-Wolfe's Pond Park Zone 2,Active,POINT (-74.187226 40.518541)
B225-DF0144,A,"Under Tree, In Playground",YES,B225,St. Andrew's Playground,B225,B,1,B-03,A-St. Andrew's Playground,Active,POINT (-73.941926 40.678994)
Q396-DF0761,D,"Out in Open, Near Ballfield",NO,Q396,Montbellier Park,Q396,Q,1,Q-12,D-Montbellier Park,Active,POINT (-73.756269 40.675741)
M038-DF0617,E,"Near Ballfield, In Shade",YES,M038,James J Walker Park,M038,M,1,M-02,E-James J Walker Park,Active,POINT (-74.006449 40.729555)
B323-DF0097,C,"Under Tree, In Playground",YES,B323,Hattie Carthan Playground,B323,B,1,B-03,C-Hattie Carthan Playground,Active,POINT (-73.946314 40.685542)
X307-DF0585,Food Prep Sink,Indoor,,X307,Barretto Point Park,X307-BLG0002,X,1,X-02,Food Prep Sink-Barretto Point Park-Floating Pool Barge,Active,POINT (-73.888806 40.80452)
M071-DF0086,C,"In Playground, Under Tree",NO,M071,Riverside Park,M071-34,M,1,M-14,C-Riverside Park-Tot Lot One Hundred Five,Active,POINT (-73.970849 40.801944)
