System,FountainType,Position,Painted,GISPropNum,PropName,OMPPropID,Borough,FountainCount,Department,District,FeatureStatus,Point
B296-DF0360,C,In Playground,NO,B296,Luna Playground,B296,B,1,B-13,C-Luna Playground,Active,POINT (-73.978922 40.57606)
B057-DF1014,E,,,B057,Marine Park,B057,B,1,B-18,E-Marine Park,Active,POINT (-73.921023 40.58947)
B066-DF0720,E,Out in Open,NO,B066,Owl's Head Park,B066,B,1,B-10,E-Owl's Head Park,Active,POINT (-74.034849 40.640323)
B286-DF0398,A,Just Outside Playground,YES,B286,Bartlett Playground,B286,B,1,B-01,A-Bartlett Playground,Active,POINT (-73.946395 40.700852)
B164-DF0627,A,Under Tree,YES,B164,Bath Beach Park,B164,B,1,B-11,A-Bath Beach Park,Active,POINT (-74.010973 40.602585)
B255J-DF0538,C,In Playground,NO,B255J,Seeley Park,B255J,B,1,B-07,C-Seeley Park,Active,POINT (-73.978038 40.653439)
M294-DF0254,C,Out in Open,NO,M294,Ruppert Park,M294,M,1,M-08,C-Ruppert Park,Active,POINT (-73.949783 40.780842)
Q094-DF0497,D,Near Ballfield,NO,Q094,Tudor Park,Q094,Q,1,Q-10,D-Tudor Park,Active,POINT (-73.855534 40.673695)
Q015-DF0897,A,,,Q015,Forest Park,Q015-ZN05,Q,1,Q-16,A-Forest Park-Carousel,Active,POINT (-73.855575 40.700544)
M045-DF0226,B,Out in Open,NO,M045,John Jay Park,M045,M,1,M-08,B-John Jay Park,Active,POINT (-73.948837 40.769719)
Q351-DF0472,D,Under Tree,YES,Q351,Peters Field,Q351,Q,1,Q-12,D-Peters Field,Active,POINT (-73.774676 40.706591)
M120B-DF0615,A,"Under Tree, In Playground",YES,M120B,Playground of the Americas,M120B,M,1,M-02,A-Playground of the Americas,Active,POINT (-74.002756 40.72807)
B109-DF1073,Indoor Drinking Fountain,Indoor,,B109,Bill Brown Playground,B109-BLG1168,B,1,B-15,Indoor Drinking Fountain-Bill Brown Playground-Comfort Station,Active,POINT (-73.945596 40.591761)
B021-DF0734,A,"Under Tree, Just Outside Playground",YES,B021,Commodore Barry Park,B021,B,1,B-02,A-Commodore Barry Park,Active,POINT (-73.978467 40.697127)
B169-DF0539,E,Out in Open,NO,B169,Coney Island Beach & Boardwalk,B169-ZN01A,B,1,B-13,E-Coney Island Beach & Boardwalk-Coney Island Beach Zone 1a,Active,POINT (-73.956085 40.575402)
M223-DF0494,C,Near Ballfield,YES,M223,Jacob H. Schiff Playground,M223,M,1,M-09,C-Jacob H. Schiff Playground,Active,POINT (-73.952357 40.821058)
Q126-DF0678,F High Low,In Playground,NO,Q126,Francis Lewis Park,Q126-01,Q,2,Q-07,F High Low-Francis Lewis Park-Francis Lewis Playground,Active,POINT (-73.824508 40.796277)
B352-DF0394,E,"Under Tree, In Shade, In Playground",YES,B352,Curtis Playground,B352,B,1,B-18,E-Curtis Playground,Active,POINT (-73.917476 40.64075)
M079-DF0266,E,Out in Open,NO,M079,St. Catherine's Park,M079,M,1,M-08,E-St. Catherine's Park,Active,POINT (-73.958912 40.765049)
M010-DF0594,E and Dog,"Under Tree, In Shade",YES,M010,Central Park,M010-ZN17,M,2,M-13,E and Dog-Central Park-Cedar Hill,Active,POINT (-73.965477 40.775604)
X200-DF0183,D,"Out in Open, In Playground",NO,X200,Clark Playground,X200,X,1,X-01,D-Clark Playground,Active,POINT (-73.921181 40.813657)
X004-DF0075,C,In Playground,,X004,Bronx River Parkway,X002-14,X,1,X-09,C-Bronx River Parkway-Rosewood Playground,Active,POINT (-73.871056 40.872945)
Q010A-DF0669,E,Out in Open,YES,Q010A,Little Bay Park,Q010A-ZN02,Q,1,Q-07A,E-Little Bay Park-Little Bay Park Zone 2,Active,POINT (-73.781968 40.790517)
M017-DF0346,C,"Under Tree, Near Ballfield, Just Outside Playground",NO,M017,Corlears Hook Park,M017,M,1,M-03,C-Corlears Hook Park,Active,POINT (-73.980381 40.711203)
M144-DF0354,E,Near Ballfield,YES,M144,John V. Lindsay East River Park,M144-ZN02,M,1,M-03,E-John V. Lindsay East River Park-East River Park Zone 2,Active,POINT (-73.977452 40.711614)
B126-DF1076,Indoor Drinking Fountain,Indoor,,B126,Red Hook Recreation Area,B126-BLG1076,B,1,B-06,Indoor Drinking Fountain-Red Hook Recreation Area-Recreation Center,Active,POINT (-74.004045 40.672382)
M144-DF0396,E High Low,"Near Ballfield, Just Outside Playground",YES,M144,John V. Lindsay East River Park,M144-ZN06,M,2,M-03,E High Low-John V. Lindsay East River Park-East River Park Zone 6,Active,POINT (-73.972254 40.724404)
Q099-DF0291,C,Near Ballfield,YES,Q099,Flushing Meadows Corona Park,Q099-ZN17,Q,1,Q-15,C-Flushing Meadows Corona Park-College Point Blvd Soccer Fields,Active,POINT (-73.834568 40.750843)
M386-DF0334,E High Low,Out in Open,YES,M386,Imagination Playground,M386,M,2,M-01,E High Low-Imagination Playground,Active,POINT (-74.003964 40.706186)
Q026-DF0146,C,Near Ballfield,NO,Q026,Park Of The Americas,Q026,Q,1,Q-04,C-Park Of The Americas,Active,POINT (-73.861709 40.748531)
R022-DF0152,A,Out in Open,YES,R022,Silver Lake Park,R022-ZN02,R,1,R-01,A-Silver Lake Park-Silver Lake Park Zone 2,Active,POINT (-74.095617 40.631161)
B068-DF0352,A,"Out in Open, Near Ballfield",NO,B068,Parade Ground,B073-ZN27,B,1,B-14,A-Parade Ground-West Parade Grounds,Active,POINT (-73.968994 40.651257)
R045-DF0026,Trough,Just Outside Playground,NO,R045,Schmul Park,R045-01,R,1,R-02,Trough-Schmul Park-Schmul Park,Active,POINT (-74.187095 40.589705)
B371-DF0111,E,Near Ballfield,YES,B371,Spring Creek Park,B371-ZN01,B,1,B-05,E-Spring Creek Park-Spring Creek Park Zone 1,Active,POINT (-73.872999 40.648982)
X092-DF0265,A,"Near Ballfield, Under Tree",YES,X092,Van Cortlandt Park,X092-ZN08,X,1,X-13,A-Van Cortlandt Park-Kelly Fields,Active,POINT (-73.896 40.906941)
B141-DF0191,C,"Under Tree, In Playground",NO,B141,City Line Park,B141,B,1,B-05,C-City Line Park,Active,POINT (-73.873952 40.678681)
R017-DF0130,Pedestal,Near Ballfield,YES,R017,Freshkills Park,R017-ZN01,R,1,R-02,Pedestal-Freshkills Park-Owl Hollow Fields,Active,POINT (-74.197247 40.561302)
Q162H-DF0342,D,In Playground,NO,Q162H,Beach 30th Street Playground,Q162H,Q,1,Q-14,D-Beach 30th Street Playground,Active,POINT (-73.76172 40.592593)
B529-DF0029,Trough,"Near Ballfield, Under Tree",NO,B529,Bushwick Inlet Park,B529,B,1,B-01,Trough-Bushwick Inlet Park,Active,POINT (-73.961833 40.722273)
Q339-DF0785,CS Concrete,In Playground,NO,Q339,Cambria Playground,Q339,Q,1,Q-13,CS Concrete-Cambria Playground,Active,POINT (-73.742434 40.688558)
M010-DF1040,Water Cooler,Indoor,,M010,Central Park,M010-BLG0743,M,1,M-13,Water Cooler-Central Park-Dana Discovery Center,Active,POINT (-73.951457 40.797062)
B032-DF0867,A,In Playground,NO,B032,Fort Greene Park,B032-01,B,1,B-02,A-Fort Greene Park-Fort Greene Playground,Active,POINT (-73.977257 40.692342)
B342-DF0274,A,"Under Tree, Out in Open, In Shade, Near Ballfield",YES,B342,100% Playground,B342,B,1,B-18,A-100% Playground,Active,POINT (-73.899378 40.64654)
M098-DF0982,Indoor Drinking Fountain,Indoor,,M098,Washington Square Park,M098-ZN01,M,1,M-02,Indoor Drinking Fountain-Washington Square Park-Western Half,Active,POINT (-73.998309 40.730831)
M144-DF0367,A,Near Ballfield,YES,M144,John V. Lindsay East River Park,M144-ZN03,M,1,M-03,A-John V. Lindsay East River Park-East River Park Zone 3,Active,POINT (-73.975261 40.716436)
Q401-DF0965,Indoor Drinking Fountain,Indoor,,Q401,Lost Battalion Hall Recreation Center,Q401-BLG0533,Q,1,Q-06,Indoor Drinking Fountain-Lost Battalion Hall Recreation Center,Active,POINT (-73.865513 40.731804)
Q089B-DF0657,D,In Playground,NO,Q089B,Harvey Park,Q089B-01,Q,1,Q-07,D-Harvey Park-Harvey Playground,Active,POINT (-73.823747 40.782792)
B050-DF0264,CS Concrete,In Playground,NO,B050,Van Voorhees Playground,B050,B,1,B-06,CS Concrete-Van Voorhees Playground,Active,POINT (-73.999524 40.689641)
M244-DF0337,D,"Near Ballfield, In Playground",YES,M244,Sol Bloom Playground,M244,M,1,M-07,D-Sol Bloom Playground,Active,POINT (-73.968933 40.789408)
B288-DF0533,A,In Playground,YES,B288,Slope Park Playground,B288,B,1,B-07,A-Slope Park Playground-Comfort Station,Active,POINT (-73.989317 40.661317)
M241-DF0299,A,"Under Tree, In Playground, Just Outside Playground",YES,M241,Nathan Straus Playground,M241,M,1,M-03,A-Nathan Straus Playground,Active,POINT (-73.984217 40.719415)
Q099-DF0262,A,Under Tree,YES,Q099,Flushing Meadows Corona Park,Q099-ZN15,Q,1,Q-15,A-Flushing Meadows Corona Park-South Lawn,Active,POINT (-73.839266 40.747709)
M010-DF0927,B,Under Tree,,M010,Central Park,M010-ZN17,M,1,M-13,B-Central Park-Cedar Hill,Active,POINT (-73.965109 40.777559)
M042-DF0188,A,Near Ballfield,YES,M042,Inwood Hill Park,M042-ZN01,M,1,M-12,A-Inwood Hill Park-Inwood Hill Park Zone 1,Active,POINT (-73.921498 40.871456)
X034-DF0525,Indoor Drinking Fountain,Indoor,,X034,Rev. T. Wendell Foster Park and Recreation Center,X034-BLG0818,X,1,X-04,Indoor Drinking Fountain-Mullaly Park-Mullaly Community Center,Active,POINT (-73.925245 40.831793)
M186-DF0540,A,"Under Tree, Near Ballfield, In Playground",YES,M186,Brigadier General Charles Young Playground,M186,M,1,M-10,A-Brigadier General Charles Young Playground,Active,POINT (-73.936372 40.819451)
M037-DF0029,C,Out in Open,NO,M037,Highbridge Park,M037,M,1,M-12A,C-Highbridge Park,Active,POINT (-73.933874 40.842149)
R105-DF0129,C,Near Ballfield,NO,R105,Prall Playground,R105,R,1,R-01,C-Prall Playground,Active,POINT (-74.118117 40.628408)
Q002-DF0904,C,Near Ballfield,,Q002,Grover Cleveland Playground,Q002,Q,1,Q-05,C-Grover Cleveland Playground,Active,POINT (-73.911111 40.710143)
X307-DF0586,Food Prep Sink,Indoor,,X307,Barretto Point Park,X307,X,1,X-02,Food Prep Sink-Barretto Point Park,Active,POINT (-73.888913 40.804642)
Q094-DF0496,H,Under Tree,YES,Q094,Tudor Park,Q094-01,Q,1,Q-10,H-Tudor Park-Addabbo Playground,Active,POINT (-73.8547 40.67328)
Q360J-DF0827,CS Metal,In Playground,NO,Q360J,Crowley Playground,Q360J,Q,1,Q-04,CS Metal-Crowley Playground,Active,POINT (-73.879805 40.729329)
M071-DF0080,B,"Under Tree, Out in Open",NO,M071,Riverside Park,M071-ZN16,M,1,M-14,B-Riverside Park-Middle Park Landscape,Active,POINT (-73.966922 40.809902)
M014-DF0477,B,"In Playground, Under Tree",NO,M014,Jackie Robinson Park,M014-03,M,1,M-10,"B-Jackie Robinson Park-Playground One Forty Nine, CIL",Active,POINT (-73.941328 40.825868)
B066-DF0878,A,In Playground,NO,B066,Owl's Head Park,B066-02,B,1,B-10,A-Owl's Head Park-Owls Head Park,Active,POINT (-74.030824 40.639385)
Q458-DF0975,Water Cooler,Indoor,,Q458,Fort Totten Park,Q458-BLG0040,Q,1,Q-07A,Water Cooler-Fort Totten Park-Visitors Center,Active,POINT (-73.777991 40.795569)
M170-DF0301,E and Dog,Out in Open,YES,M170,Petrosino Square,M170,M,2,M-02,E and Dog-Petrosino Square,Active,POINT (-73.997447 40.721641)
B130-DF0548,A,In Playground,YES,B130,Greenwood Playground,B130,B,1,B-07,A-Greenwood Playground,Active,POINT (-73.976077 40.649622)
X113-DF0583,E High Low,Near Entrance,,X113,Hunts Point Playground,X113,X,2,X-02,E High Low-Hunts Point Playground,Active,POINT (-73.886224 40.814141)
Q015-DF0017,E,In Playground,NO,Q015,Forest Park,Q015-08,Q,1,Q-16,E-Forest Park-Dry Harbor Playground,Active,POINT (-73.86787 40.702593)
R046-DF0038,A,Out in Open,YES,R046,Franklin D. Roosevelt Boardwalk and Beach,R046-ZN05,R,1,R-02,A-Franklin D. Roosevelt Boardwalk and Beach-Midland Beach Zone 5,Active,POINT (-74.089498 40.569316)
X196-DF0040,A,"Under Tree, In Shade",YES,X196,Haffen Park,X196,X,1,X-12,A-Haffen Park,Active,POINT (-73.838901 40.873925)
M058-DF0500,D,Near Ballfield,YES,M058,Marcus Garvey Park,M058-ZN01,M,1,M-11,D-Marcus Garvey Park-Marcus Garvey Park Zone 1,Active,POINT (-73.944907 40.80449)
Q162J-DF0356,D,Out in Open,NO,Q162J,Beach 17 Playground,Q162J,Q,1,Q-14,D-Beach 17 Playground,Active,POINT (-73.750353 40.594116)
B085-DF1069,Bottle Filler Fountain,Indoor,,B085,Metropolitan Recreation Center,B085-BLG0982,B,2,B-01,Bottle Filler Fountain-Metropolitan Recreation Center,Active,POINT (-73.960317 40.715012)
B251-DF0612,E,Out in Open,YES,B251,Manhattan Beach Park,B251-ZN01,B,1,B-15,E-Manhattan Beach Park-Manhattan Beach Zone 1,Active,POINT (-73.945431 40.576573)
B028-DF0664,A,In Playground,NO,B028,Dyker Beach Park,B028-03,B,1,B-10,A-Dyker Beach Park-Dyker Plgd,Active,POINT (-74.013 40.612726)
Q434-DF0384,A,Under Tree,NO,Q434,Long Island Mews,Q434,Q,1,Q-02,A-Long Island Mews,Active,POINT (-73.890293 40.736067)
X045-DF0007,A,"Under Tree, In Shade",NO,X045,St. Mary's Park,X045-ZN02,X,1,X-01,A-St. Mary's Park-St Mary's Park Zone 2,Active,POINT (-73.912943 40.813833)
X002-DF0242,C,Near Ballfield,NO,X002,Bronx Park,X002-ZN01,X,1,X-14,C-Bronx Park-Bronx Park Zone 1,Active,POINT (-73.870565 40.853046)
B073-DF0933,Bottle Filler Fountain,"Under Tree, In Shade",,B073,Prospect Park,B073-ZN14,B,2,B-19,Bottle Filler Fountain-Prospect Park-Middle Long Meadow,Active,POINT (-73.972108 40.665075)
B068-DF0351,A,"Out in Open, Near Ballfield",NO,B068,Parade Ground,B073-ZN27,B,1,B-14,A-Parade Ground-West Parade Grounds,Active,POINT (-73.969383 40.651334)
M010-DF0589,E,"Under Tree, In Shade",YES,M010,Central Park,M010-ZN24+25,M,1,M-13,"E-Central Park-Belvdre. Cstl., Turtle Pond, Shkspr Grdn",Active,POINT (-73.968706 40.779426)
M360-DF0869,Trough,,,M360,The High Line,M360-ZN01,M,1,M-16,Trough-The High Line-The High Line Zone 1,Active,POINT (-74.008281 40.739815)
M148-DF0516,F,"In Playground, Near Ballfield",YES,M148,White Playground,M148,M,1,M-11,F-White Playground,Active,POINT (-73.945878 40.791519)
Q359-DF0466,A,"Under Tree, Just Outside Playground",NO,Q359,Haggerty Park,Q359,Q,1,Q-12,A-Haggerty Park,Active,POINT (-73.758066 40.713024)
M283A-DF0177,Other,"Just Outside Playground, In Shade",YES,M283A,Battery Park City,M283A,M,1,M-01,Other-Battery Park City,Active,POINT (-74.016869 40.711958)
B021-DF1081,Indoor Drinking Fountain,Indoor,,B021,Commodore Barry Park,B021-BLG1003,B,1,B-02,Indoor Drinking Fountain-Commodore Barry Park-Women's Bathhouse,Active,POINT (-73.977796 40.69753)
M047-DF0957,Indoor Drinking Fountain,Indoor,,M047,Thomas Jefferson Park,M047-BLG1592,M,1,M-11,Indoor Drinking Fountain-Thomas Jefferson Park-Recreation Center,Active,POINT (-73.93678 40.793642)
R046-DF0076,D,Just Outside Playground,YES,R046,Franklin D. Roosevelt Boardwalk and Beach,R046-ZN01,R,1,R-02B,D-Franklin D. Roosevelt Boardwalk and Beach-South Beach Zone 1,Active,POINT (-74.063012 40.592438)
B350-DF0956,Bottle Filler High Low,,,B350,Stroud Playground,B350,B,3,B-08,Bottle Filler High Low-Stroud Playground,Active,POINT (-73.961835 40.675099)
X255-DF0206,D,Near Ballfield,NO,X255,Bill Rainey Park,X255,X,1,X-02,D-Bill Rainey Park,Active,POINT (-73.896673 40.819476)
X030-DF0424,Trough,Out in Open,NO,X030,Macombs Dam Park,X030-ZN01,X,1,X-04,Trough-Macombs Dam Park-Macombs Dam Park Zone 1 Upper,Active,POINT (-73.930328 40.827188)
Q471-DF0886,Trough,,,Q471,Hunter's Point South Park,Q471-ZN02,Q,1,Q-02,Trough-Hunter's Point South Park-Hunter's Point South Park Zone 2,Active,POINT (-73.961154 40.738498)
B169-DF0583,E,Out in Open,NO,B169,Coney Island Beach & Boardwalk,B169-ZN04A,B,1,B-13,E-Coney Island Beach & Boardwalk-Coney Island Beach Zone 4a,Active,POINT (-73.971464 40.574003)
M056-DF0461,C,"Near Ballfield, Just Outside Playground",NO,M056,Morningside Park,M056-ZN01,M,1,M-09,C-Morningside Park-Morningside Park Zone 1,Active,POINT (-73.95877 40.802982)
Q001-DF0702,A,Out in Open,NO,Q001,Alley Pond Park,Q001-ZN03,Q,1,Q-07A,A-Alley Pond Park-Alley Pond Park Zone 3,Active,POINT (-73.747246 40.741693)
M064-DF0294,E,"Under Tree, Near Ballfield, In Playground",YES,M064,Lillian D Wald Playground,M064,M,1,M-03,E-Lillian D Wald Playground,Active,POINT (-73.984403 40.712181)
M233-DF0324,D,"Under Tree, Near Ballfield, In Playground",NO,M233,Matthew P. Sapolin Playground,M233,M,1,M-07,D-Matthew P. Sapolin Playground,Active,POINT (-73.984144 40.777679)
B098-DF0523,D,In Playground,NO,B098,Martin Luther Playground,B098,B,1,B-07,D-Martin Luther Playground,Active,POINT (-74.019901 40.645681)
B159-DF0459,Pedestal Wall,Out in Open,NO,B159,Mount Prospect Park,B159,B,1,B-08,Pedestal Wall-Mount Prospect Park,Active,POINT (-73.967219 40.671549)
M028-DF0227,E,"In Playground,Under_Tree,In_Shade,Out_in_Open,In_Playground",YES,M028,Fort Washington Park,M028-02,M,1,M-12,E-Fort Washington Park-Lily Brown Playground,Active,POINT (-73.94603 40.838964)
B061-DF0971,C,,,B061,McLaughlin Park,B061,B,1,B-02,C-McLaughlin Park,Active,POINT (-73.985935 40.696515)
Q320-DF0385,A,In Playground,NO,Q320,Vleigh Playground,Q320,Q,1,Q-08,A-Vleigh Playground,Active,POINT (-73.816277 40.729795)
X004-DF0080,D,In Playground,NO,X004,Bronx River Parkway,X004-01,X,1,X-09,D-Bronx River Parkway-227th Street Playground,Active,POINT (-73.864041 40.890777)
M283-DF0198,Trough,"In Shade, Near Ballfield",NO,M283,Battery Park City,M283-ZN02,M,1,M-01,Trough-Battery Park City-Battery Park City Zone 2,Active,POINT (-74.014126 40.716622)
Q163-DF0991,Food Prep Sink,Indoor,,Q163,Rockaway Beach Boardwalk,Q162-ZN04C-BLG0001,Q,1,Q-14,Food Prep Sink-Rockaway Beach Boardwalk-Rockaway Beach 04c,Active,POINT (-73.799844 40.586627)
B080-DF0799,A,"Out in Open, In Playground",NO,B080,Asser Levy Park,B080,B,1,B-13,A-Asser Levy Park,Active,POINT (-73.972227 40.574324)
B018-DF0809,H,"Near Ballfield, Out in Open",YES,B018,Canarsie Park,B018-ZN01,B,1,B-18,H-Canarsie Park-Canarsie Park Zone 1,Active,POINT (-73.8952 40.629163)
M010-DF0329,E High Low,In Playground,YES,M010,Central Park,M010-143,M,2,M-13,E High Low-Central Park-Pat Hoffman Friedman Plgd,Active,POINT (-73.963971 40.777631)
M237-DF0116,E,"Just Outside Playground, Near Ballfield",YES,M237,Corporal John A. Seravalli Playground,M237,M,1,M-02,E-Corporal John A. Seravalli Playground,Active,POINT (-74.004559 40.73922)
B058-DF1039,Food Prep Sink,Indoor,,B058,McCarren Park,B058-ZN01-BLG0984,B,1,B-01,Food Prep Sink-McCarren Park-McCarren Play Center,Active,POINT (-73.94993 40.720081)
Q476-DF0531,D,"Out in Open, Near Ballfield",NO,Q476,College Point Fields,Q476,Q,1,Q-07,D-College Point Fields,Active,POINT (-73.838107 40.777231)
B307-DF0040,D,Out in Open,NO,B307,Tiger Playground,B307,B,1,B-04,D-Tiger Playground,Active,POINT (-73.911169 40.688071)
B169-DF0597,E,Out in Open,NO,B169,Coney Island Beach & Boardwalk,B169-ZN05B,B,1,B-13,E-Coney Island Beach & Boardwalk-Coney Island Beach Zone 5b,Active,POINT (-73.982906 40.572705)
M010-DF0572,E,"Under Tree, In Shade",YES,M010,Central Park,M010-ZN02+4,M,1,M-13,E-Central Park-Hallett Nature Sanctuary And Pond,Active,POINT (-73.974956 40.765452)
B258-DF0126,E,In Playground,YES,B258,Brevoort Playground,B258,B,1,B-03,E-Brevoort Playground,Active,POINT (-73.922566 40.680142)
Q099-DF0245,A,Under Tree,YES,Q099,Flushing Meadows Corona Park,Q099-ZN15,Q,1,Q-15,A-Flushing Meadows Corona Park-South Lawn,Active,POINT (-73.839873 40.74455)
Q024-DF0642,A,Near Ballfield,NO,Q024,Kissena Park,Q024-ZN03,Q,1,Q-07,A-Kissena Park-Kissena Park Zone 3,Active,POINT (-73.812066 40.746109)
B232-DF0451,C,Under Tree,YES,B232,Dean Playground,B232,B,1,B-08,C-Dean Playground,Active,POINT (-73.973397 40.680706)
M164-DF0018,H,In Playground,YES,M164,Asser Levy Playground,M164,M,1,M-06,H-Asser Levy Playground,Active,POINT (-73.975355 40.736683)
M047-DF0915,J,,,M047,Thomas Jefferson Park,M047,M,1,M-11,J-Thomas Jefferson Park,Active,POINT (-73.936551 40.79377)
M164-DF1010,Drinking Fountain Sink Combination,Indoor,,M164,Asser Levy Playground,M164-BLG0666,M,2,M-06,Drinking Fountain Sink Combination-Asser Levy Playground-Asser Levy Rec Center,Active,POINT (-73.975668 40.736143)
B166C-DF0621,A,"Near Ballfield, Out in Open",NO,B166C,Coney Island Boat Basin,B166C-ZN02,B,1,B-13,A-Coney Island Boat Basin-Six Diamonds Zone 2,Active,POINT (-73.991207 40.581742)
B324-DF1153,Bottle Filler High Low,"Out in Open, Just Outside Playground",NO,B324,Jacob Joffe Fields,B324,B,3,B-18,Bottle Filler High Low-Jacob Joffe Fields,Active,POINT (-73.919569 40.624952)
Q321-DF0043,F High Low,In Playground,NO,Q321,Van Alst Playground,Q321,Q,2,Q-01,F High Low-Van Alst Playground,Active,POINT (-73.928313 40.770481)
B068-DF0332,A,"Under Tree, Near Ballfield, In Shade",,B068,Parade Ground,B073-ZN27,B,1,B-14,A-Parade Ground-West Parade Grounds,Active,POINT (-73.969617 40.649093)
B129-DF0356,A,"Out in Open, Just Outside Playground",NO,B129,Kaiser Park,B129-ZN01,B,1,B-13,A-Kaiser Park-Kaiser Park Zone 1,Active,POINT (-73.995012 40.578427)
M010-DF1055,Water Cooler,Indoor,,M010,Central Park,M010-ZN10+11-BLG0715,M,1,M-13,Water Cooler-Central Park-MINERAL SPRINGS,Active,POINT (-73.974391 40.773037)
Q015-DF0920,Food Prep Sink,Indoor,,Q015,Forest Park,Q015-ZN08-BLG0404,Q,1,Q-16,Food Prep Sink-Forest Park-Oak Ridge,Active,POINT (-73.866434 40.696026)
M067-DF0433,C,In Playground,NO,M067,Sophie Irene Loeb,M067,M,1,M-03,C-Sophie Irene Loeb,Active,POINT (-73.994251 40.713259)
X211-DF0269,C,In Playground,NO,X211,Stebbins Playground,X211,X,1,X-02,C-Stebbins Playground,Active,POINT (-73.898619 40.822696)
B042-DF0676,C,Near Ballfield,NO,B042,Gravesend Park,B042,B,1,B-12,C-Gravesend Park,Active,POINT (-73.984336 40.623562)
Q004-DF0460,A,"Out in Open, Under Tree",NO,Q004,Astoria Park,Q004-ZN02,Q,1,Q-01,A-Astoria Park-Astoria Park Zone 2,Active,POINT (-73.922083 40.780245)
Q360N-DF0672,D,"Under Tree, Out in Open, Near Ballfield",,Q360N,Hoffman Park,Q360N,Q,1,Q-04,D-Hoffman Park,Active,POINT (-73.871681 40.732939)
Q067A-DF0074,CS Concrete,Out in Open,NO,Q067A,General Hart Playground,Q067A,Q,1,Q-02,CS Concrete-General Hart Playground,Active,POINT (-73.897259 40.748753)
X002-DF0072,A,Under Tree,YES,X002,Bronx Park,X002-05A,X,1,X-14,A-Bronx Park-Waring Plgd,Active,POINT (-73.871509 40.860447)
B254-DF0303,A,Out in Open,YES,B254,Wingate Park,B254,B,1,B-09,A-Wingate Park,Active,POINT (-73.944346 40.658987)
B223B-DF0239,E,In Playground,YES,B223B,Dimattina Playground,B223B,B,1,B-06,E-Dimattina Playground,Active,POINT (-74.002071 40.680702)
M033-DF0378,B,Out in Open,NO,M033,Hamilton Fish Park,M033,M,1,M-03,B-Hamilton Fish Park,Active,POINT (-73.980181 40.719657)
X214-DF0020,CS Metal,In Playground,,X214,Magenta Playground,X214,X,1,X-12,CS Metal-Magenta Playground,Active,POINT (-73.867988 40.8735)
B057-DF1109,Indoor Drinking Fountain,Indoor,,B057,Marine Park,B057-ZN01-BLG1211,B,1,B-18,Indoor Drinking Fountain-Marine Park-Carmine Carro Community Center,Active,POINT (-73.937449 40.607861)
B192-DF0696,E,In Playground,,B192,Russell Pedersen Playground,B192,B,1,B-10,E-Russell Pedersen Playground,Active,POINT (-74.036221 40.626417)
B332-DF0038,C,"Under Tree, In Shade, Near Ballfield",NO,B332,Evergreen Playground,B332,B,1,B-04,C-Evergreen Playground,Active,POINT (-73.910844 40.686062)
M144-DF0370,C,"Under Tree, Near Ballfield",NO,M144,John V. Lindsay East River Park,M144-ZN04,M,1,M-03,C-John V. Lindsay East River Park-East River Park Zone 4,Active,POINT (-73.974564 40.718351)
Q021-DF0437,C,"Just Outside Playground, Near Ballfield",NO,Q021,Cunningham Park,Q021-ZN01,Q,1,Q-08,C-Cunningham Park-Cunningham Park Zone 1,Active,POINT (-73.774286 40.72735)
BT15-DF0741,E,Near Ballfield,YES,BT15,Bush Terminal Park,BT15,B,1,B-07,E-Bush Terminal Park,Active,POINT (-74.020543 40.651657)
X039-DF0456,C,Near Ballfield,YES,X039,Pelham Bay Park,X039-ZN01,X,1,X-15,C-Pelham Bay Park-Aileen Ryan Rec. Complex,Active,POINT (-73.825707 40.847124)
B050-DF0266,C,Just Outside Playground,NO,B050,Van Voorhees Playground,B050,B,1,B-06,C-Van Voorhees Playground,Active,POINT (-73.999721 40.689908)
Q492-DF0587,E High Low,In Playground,,Q492,Elmhurst Park,Q492,Q,2,Q-04,E High Low-Elmhurst Park,Active,POINT (-73.885151 40.730303)
Q006-DF0798,C,"Under Tree, In Shade",NO,Q006,Bowne Park,Q006,Q,1,Q-07,C-Bowne Park,Active,POINT (-73.807743 40.770557)
B267-DF0310,D,In Playground,NO,B267,Winthrop Playground,B267,B,1,B-09,D-Winthrop Playground,Active,POINT (-73.954529 40.65653)
MT03-DF1080,Water Cooler,Indoor,,MT03,Arsenal West,MT03-BLG0001,M,1,M-07,Water Cooler-Arsenal West-Arsenal West,Active,POINT (-73.982919 40.769783)
R043-DF0171,D,Out in Open,NO,R043,Lyons Pool,R043,R,1,R-01,D-Lyons Pool,Active,POINT (-74.074571 40.637213)
R034-DF0185,Bottle Filler High Low,,,R034,Austin J. McDonald Playground,R034,R,3,R-01,Bottle Filler High Low-Austin J. McDonald Playground,Active,POINT (-74.115587 40.62956)
Q012-DF0748,E,In Playground,NO,Q012,Crocheron Park,Q012-01,Q,1,Q-07A,E-Crocheron Park-Buz O'Rourke Playground,Active,POINT (-73.771549 40.770981)
Q422-DF0334,C,Just Outside Playground,NO,Q422,Seaside Playground,Q422,Q,1,Q-14,C-Seaside Playground,Active,POINT (-73.831359 40.580348)
M005-DF0899,Other,under ferry overhang,,M005,The Battery,M005-06,M,1,M-01,Other-The Battery-Peter Minuit Plaza,Active,POINT (-74.012686 40.701505)
