InspectionID,PRNumber,PR Overall Condition,PR Litter,PR Graffiti,PR Amenities,PR Structural
185558,1,A,A,A,A,A
185561,1,A,A,A,A,A
185562,1,A,A,A,U,A
185568,1,U,U/S,A,A,A
185570,1,A,A,A,A,A
185571,1,N,A,N,A,N
185525,1,N,A,N,A,N
185527,1,N,A,N,A,N
185521,1,N,A,N,A,N
185522,1,N,A,N,A,N
185524,1,N,A,N,A,N
185502,1,A,A,A,A,A
185506,1,A,A,A,A,A
185516,1,A,A,A,A,A
185517,1,N,N,N,N,N
185518,1,A,A,A,A,A
185484,1,U,N,N,N,N
185491,1,A,A,A,A,A
185492,1,N,N,N,N,N
185497,1,U,N,N,N,N
185498,1,A,A,A,A,A
185447,1,A,A,A,A,U
185449,1,A,A,A,A,A
185450,1,A,A,A,A,U
185453,1,U,A,U/S,A,A
185455,1,A,A,U,A,A
185459,1,U,N,N,N,N
185463,1,A,A,A,A,A
185466,1,A,A,A,A,A
185468,1,A,A,A,A,A
185469,1,A,A,A,A,A
185478,1,A,A,A,A,A
185480,1,A,A,A,A,A
185481,1,A,U,A,A,A
185413,1,A,A,A,A,A
185414,1,A,A,A,A,A
185419,1,A,A,A,A,A
185423,1,A,A,A,A,A
185424,1,A,A,A,A,A
185433,1,A,A,A,A,A
185384,1,N,A,N,A,N
185385,1,A,A,A,A,A
185386,1,N,A,N,A,N
185387,1,N,A,N,A,N
185389,1,N,A,N,A,N
185390,1,A,A,A,A,A
185392,1,A,A,A,U,A
185393,1,A,A,A,A,A
185397,1,A,A,A,A,A
185398,1,A,A,A,A,A
185398,2,A,A,A,A,A
185400,1,N,A,N,A,N
185404,1,A,A,A,A,A
185405,1,U,U/S,A,U,U
185407,1,A,A,A,A,A
185363,1,N,A,N,A,N
185371,1,N,A,N,A,N
185360,1,N,A,N,A,N
185355,1,U,N,N,N,N
185364,1,A,A,A,A,A
185367,1,A,A,A,A,A
185374,1,A,A,A,A,A
185435,1,A,A,A,A,A
185438,1,A,A,A,A,A
185320,1,A,A,A,U,A
185324,1,A,A,A,A,U
185325,1,A,A,A,A,A
185329,1,A,A,A,A,A
185332,1,N,N,N,N,N
185335,1,A,A,A,A,A
185336,1,A,A,A,A,A
185337,1,A,A,A,A,A
185341,1,N,N,N,N,N
185346,1,A,A,A,U,A
185348,1,A,A,A,A,A
185312,1,A,A,A,A,A
185317,1,A,A,A,A,U
185287,1,A,A,A,A,A
185288,1,A,A,A,A,A
185296,1,A,A,A,A,A
185299,1,A,A,A,A,A
185284,1,N,U/S,N,U,N
185285,1,N,A,N,A,N
185286,1,N,N,N,N,N
185267,1,N,N,N,N,N
185268,1,N,A,N,A,N
185269,1,N,A,N,A,N
185270,1,N,A,N,A,N
185271,1,N,A,N,A,N
185272,1,N,A,N,A,N
185274,1,N,A,N,A,N
185264,1,N,A,N,U,N
185265,1,N,A,N,A,N
185266,1,N,A,N,A,N
185249,1,A,A,A,A,A
185262,1,A,A,A,A,A
185263,1,A,A,A,A,A
185230,1,A,A,A,A,A
