InspectionID,PRNumber,PR Overall Condition,PR Litter,PR Graffiti,PR Amenities,PR Structural
133506,1,A,A,A,A,A
133458,1,A,A,A,A,A
133433,1,U,N,N,N,N
133440,1,A,A,A,A,A
133441,1,U,N,N,N,N
133404,1,A,N,N,N,N
133406,1,A,A,A,A,A
133412,1,N,N,N,N,N
133422,1,A,A,A,A,U
133340,1,N,N,N,N,N
133296,1,A,A,A,A,A
133299,1,A,A,A,U,A
133314,1,A,A,A,A,A
133327,1,N,N,N,N,N
132112,1,A,A,A,A,A
132280,1,N,N,N,N,N
132095,1,A,A,A,A,U
132097,1,A,A,A,A,A
132098,1,A,A,A,A,A
132102,1,A,A,A,U,A
132103,1,N,N,N,N,N
132087,1,A,A,A,A,A
132022,1,A,A,A,A,A
132030,1,N,N,N,N,N
132045,1,A,A,A,A,A
132049,1,U,U/S,A,U,U/S
132007,1,A,A,A,A,A
132007,2,N,N,N,N,N
131997,1,A,A,A,A,A
131920,1,U,N,N,N,N
131926,1,U,A,A,A,U/S
131927,1,U,N,N,N,N
131856,1,N,N,N,N,N
131857,1,A,A,A,A,A
131880,1,A,A,A,A,A
131694,1,A,A,A,A,A
131703,1,A,A,A,A,A
131704,1,A,A,A,A,A
131638,1,A,A,A,A,A
131566,1,N,N,N,N,N
131583,1,A,A,A,U,A
131540,1,N,N,N,N,N
131467,1,A,A,A,A,A
131478,1,A,N,N,N,N
131486,1,A,A,A,A,U
131449,1,A,A,A,A,A
131272,1,A,A,A,A,A
131274,1,A,A,A,U,A
131279,1,A,A,A,A,A
131282,1,A,A,A,A,A
131227,1,A,N,N,N,N
131198,1,U,N,N,N,N
131207,1,A,A,A,A,A
131208,1,A,A,A,U,A
131212,1,N,N,N,N,N
131214,1,A,A,A,A,A
131124,1,A,A,A,A,A
131127,1,A,A,A,A,A
131127,2,U,N,N,N,N
131128,1,A,A,A,A,A
131133,1,N,N,N,N,N
131142,1,A,A,A,A,A
131142,2,N,N,N,N,N
131164,1,A,A,A,A,A
131088,1,N,N,N,N,N
131089,1,A,A,A,A,A
131093,1,N,N,N,N,N
131101,1,N,N,N,N,N
131102,1,N,N,N,N,N
131103,1,A,A,A,A,A
131105,1,N,N,N,N,N
131109,1,N,N,N,N,N
131064,1,A,A,A,A,A
131065,1,A,A,A,A,A
131066,1,A,A,A,A,A
131073,1,A,A,A,A,A
131075,1,A,A,A,A,A
131085,1,A,A,A,A,A
131092,1,A,A,A,A,A
131118,1,A,A,A,A,A
130891,1,A,A,A,A,A
130895,1,A,A,A,A,A
130896,1,N,N,N,N,N
130905,1,A,A,A,A,A
130907,1,N,N,N,N,N
130916,1,U,N,N,N,N
130931,1,A,A,A,U,A
131067,1,N,N,N,N,N
131081,1,N,N,N,N,N
130853,1,A,A,A,A,A
130856,1,A,A,A,A,A
130857,1,U,N,N,N,N
130863,1,U,N,N,N,N
130864,1,A,A,A,A,A
130865,1,U,N,N,N,N
130867,1,U,N,N,N,N
130868,1,A,A,A,A,U
130871,1,U,N,N,N,N
130876,1,A,A,A,A,A
130877,1,A,A,A,A,A
130892,1,U,N,N,N,N
130900,1,A,A,A,A,A
130904,1,U,U,A,A,U/S
130910,1,A,A,A,A,A
130925,1,A,A,A,A,A
130821,1,U,N,N,N,N
130823,1,N,N,N,N,N
130826,1,A,A,A,A,A
130828,1,A,A,A,A,A
130829,1,A,A,A,A,A
130831,1,A,A,A,A,A
130833,1,A,A,A,A,A
130837,1,U,N,N,N,N
130838,1,U,N,N,N,N
130848,1,U,N,N,N,N
130888,1,A,A,A,A,A
130802,1,A,A,A,A,A
130803,1,A,A,A,A,A
130819,1,A,A,A,A,U
130835,1,A,A,A,A,A
130836,1,A,A,A,A,A
130773,1,A,A,A,A,A
130789,1,N,N,N,N,N
130801,1,A,A,A,A,A
130805,1,A,A,A,A,A
130726,1,A,A,A,A,A
130734,1,N,N,N,N,N
130744,1,A,A,A,A,A
130747,1,A,A,A,A,A
130748,1,U,N,N,N,N
130792,1,A,A,A,A,A
130793,1,A,A,A,A,A
130794,1,U,N,N,N,N
130410,1,A,A,A,A,A
130413,1,A,A,A,A,A
130434,1,N,N,N,N,N
130717,1,A,A,A,U,A
130718,1,U,N,N,N,N
130727,1,U,N,N,N,N
130738,1,A,A,A,A,A
130743,1,A,A,A,A,A
130749,1,U,N,N,N,N
130785,1,N,N,N,N,N
130786,1,N,N,N,N,N
130418,1,N,N,N,N,N
130422,1,N,N,N,N,N
130431,1,A,A,A,A,A
130712,1,A,A,A,U,A
130758,1,A,A,A,A,A
130760,1,A,A,A,A,A
130370,1,A,A,A,A,A
130373,1,U,N,N,N,N
130377,1,U,A,A,A,U/S
130384,1,N,N,N,N,N
130393,1,A,A,A,A,A
130394,1,A,A,A,A,A
130401,1,A,A,A,A,A
130408,1,A,A,A,A,A
130416,1,A,A,A,A,A
130423,1,N,N,N,N,N
130426,1,A,A,A,A,A
130428,1,N,N,N,N,N
130358,1,N,N,N,N,N
130361,1,A,A,A,A,A
130364,1,A,A,A,A,A
130365,1,A,A,A,A,A
130367,1,A,A,A,A,A
130385,1,A,A,A,A,A
130388,1,A,A,A,A,A
130398,1,A,A,A,A,A
130337,1,A,A,A,A,A
130339,1,A,A,A,A,A
130340,1,A,A,A,A,A
130341,1,A,A,A,A,A
130344,1,A,A,A,A,A
130345,1,A,A,A,A,A
130297,1,U,N,N,N,N
130298,1,A,N,N,N,N
130314,1,A,A,A,U,A
130315,1,A,A,A,A,A
130316,1,A,A,A,A,A
130319,1,N,N,N,N,N
130325,1,A,A,A,A,A
130327,1,A,A,A,A,A
130329,1,A,A,A,A,A
130330,1,A,A,A,A,A
130277,1,A,A,A,A,A
130278,1,N,N,N,N,N
130280,1,A,A,A,A,A
130283,1,A,A,A,A,A
130284,1,A,A,A,U,A
130290,1,A,A,A,A,A
130292,1,N,N,N,N,N
130294,1,A,A,A,A,A
130268,1,N,N,N,N,N
130269,1,A,A,A,A,A
130269,2,N,N,N,N,N
130270,1,A,A,A,A,A
130243,1,A,A,A,A,A
130246,1,A,A,A,A,A
130246,2,A,A,A,A,A
130247,1,A,A,A,A,A
130249,1,A,A,A,A,A
130252,1,A,A,A,A,A
130205,1,A,A,A,A,A
130209,1,A,A,A,A,A
130213,1,A,A,A,A,A
130221,1,U,A,A,U,U
130222,1,A,A,A,A,U
130224,1,A,A,A,A,A
130228,1,N,N,N,N,N
130229,1,A,A,A,A,A
130232,1,A,A,A,A,A
130233,1,A,A,A,A,A
130241,1,N,N,N,N,N
130185,1,A,A,A,A,A
130191,1,U,N,N,N,N
130202,1,A,A,A,A,A
130149,1,A,A,A,A,A
130155,1,A,A,A,U,A
130160,1,A,A,A,A,A
130166,1,A,A,A,A,A
130169,1,N,N,N,N,N
130175,1,A,A,A,A,A
130178,1,U,N,N,N,N
130121,1,A,A,A,A,A
130123,1,A,A,A,A,A
130123,2,A,A,A,A,A
130131,1,N,N,N,N,N
130137,1,A,A,A,A,A
130138,1,A,A,A,A,A
130139,1,A,A,A,A,A
130140,1,A,A,A,A,A
130143,1,A,A,A,A,A
130097,1,A,A,A,A,A
130105,1,N,N,N,N,N
130107,1,U,N,N,N,N
130110,1,A,A,A,A,U
130111,1,A,A,A,A,A
130115,1,N,N,N,N,N
130057,1,A,A,A,A,A
130058,1,A,A,A,A,A
130059,1,A,A,A,A,A
130061,1,A,A,A,A,A
130062,1,A,A,A,A,A
130072,1,A,A,A,A,A
130074,1,A,A,A,A,U
130075,1,N,N,N,N,N
130079,1,A,A,A,U,A
130081,1,N,N,N,N,N
130082,1,A,A,A,A,A
130083,1,A,A,A,A,A
130085,1,A,A,A,A,A
130085,2,A,A,A,A,A
130089,1,N,N,N,N,N
130091,1,A,A,A,U,A
130036,1,A,A,A,A,U
130037,1,N,N,N,N,N
130040,1,A,A,A,A,U
130042,1,A,A,A,A,A
130045,1,A,A,A,A,A
130046,1,N,N,N,N,N
130008,1,A,A,A,A,A
130018,1,N,N,N,N,N
130022,1,A,A,A,A,A
130025,1,A,A,A,A,A
130026,1,N,N,N,N,N
129996,1,A,A,A,A,A
130001,1,N,N,N,N,N
129966,1,N,N,N,N,N
129967,1,N,N,N,N,N
129972,1,N,N,N,N,N
129979,1,N,N,N,N,N
129980,1,A,A,A,A,A
129982,1,A,N,N,N,N
129919,1,A,A,A,A,A
129939,1,N,N,N,N,N
129940,1,A,A,A,A,A
129941,1,N,N,N,N,N
129944,1,A,A,A,A,A
129948,1,A,A,A,A,A
129951,1,N,N,N,N,N
129953,1,A,A,A,A,A
129901,1,A,A,A,A,A
129904,1,U,N,N,N,N
129914,1,A,A,A,A,A
129915,1,A,A,A,A,A
129864,1,N,N,N,N,N
129891,1,A,A,A,A,A
129835,1,A,A,A,A,A
129838,1,A,A,A,A,A
129841,1,A,A,A,A,A
129842,1,N,N,N,N,N
129844,1,A,A,A,A,A
129844,2,U,N,N,N,N
129853,1,A,A,A,A,A
129857,1,A,A,A,A,A
129858,1,A,A,A,A,A
129803,1,A,A,A,A,A
129805,1,N,N,N,N,N
129807,1,A,A,A,A,A
129812,1,N,N,N,N,N
129813,1,A,A,A,A,A
129816,1,N,N,N,N,N
129818,1,A,A,A,A,A
129819,1,N,N,N,N,N
129823,1,N,N,N,N,N
129824,1,A,A,A,A,A
129827,1,A,A,A,U,A
129831,1,A,A,A,A,A
129833,1,U,N,N,N,N
129780,1,A,A,A,A,U
129781,1,A,A,A,A,A
129783,1,A,A,A,A,A
129789,1,A,A,A,A,A
129742,1,N,N,N,N,N
129744,1,A,N,N,N,N
129747,1,N,N,N,N,N
129748,1,A,A,A,A,A
129750,1,A,A,A,A,A
129752,1,U,N,N,N,N
129755,1,A,A,A,A,A
129756,1,U,N,N,N,N
129767,1,A,A,A,U,A
129768,1,U,A,A,U,U
129775,1,A,A,A,A,A
129777,1,A,A,A,U,A
128742,1,N,N,N,N,N
128742,2,A,A,A,A,A
128747,1,N,N,N,N,N
128756,1,A,A,A,A,A
128757,1,N,N,N,N,N
128757,2,A,A,A,A,A
128699,1,A,A,A,A,A
128700,1,A,A,A,A,A
128702,1,A,A,A,A,A
128708,1,N,N,N,N,N
128720,1,A,A,A,A,U
128723,1,A,A,A,A,A
128664,1,U,U/S,A,A,A
128668,1,A,A,A,A,A
128669,1,A,A,A,A,A
128671,1,A,A,A,A,A
128678,1,A,A,A,U,A
128679,1,N,N,N,N,N
128681,1,A,A,A,A,A
128682,1,A,A,A,A,A
128683,1,A,A,A,A,A
128686,1,A,A,A,A,A
128690,1,N,N,N,N,N
128693,1,A,A,A,A,A
128694,1,N,N,N,N,N
128651,1,A,A,A,U,A
128652,1,A,A,A,A,A
128657,1,A,A,A,A,A
128662,1,U,A,A,A,U/S
128663,1,N,N,N,N,N
128616,1,A,A,A,A,A
128630,1,N,N,N,N,N
128631,1,A,A,A,A,A
128633,1,A,A,A,A,A
128634,1,N,N,N,N,N
128638,1,N,N,N,N,N
128644,1,A,A,A,A,A
128647,1,A,A,A,A,A
128594,1,A,A,A,A,A
128605,1,A,A,A,A,U
128607,1,A,A,A,A,A
128607,2,N,N,N,N,N
128608,1,A,A,A,A,A
128612,1,A,A,A,A,A
128563,1,A,A,A,A,A
128564,1,A,A,A,A,A
128566,1,A,A,A,U,A
128571,1,A,A,A,A,A
128572,1,N,N,N,N,N
128575,1,A,A,A,A,A
128576,1,N,N,N,N,N
128581,1,N,N,N,N,N
128582,1,A,A,A,A,A
128587,1,A,A,A,A,A
128590,1,A,A,A,A,A
128593,1,A,A,A,A,A
128535,1,A,A,A,A,A
128549,1,A,A,A,A,A
128551,1,U,U,A,U,A
128555,1,A,A,A,A,A
128561,1,N,N,N,N,N
128512,1,A,A,A,A,A
128513,1,U,N,N,N,N
128516,1,A,A,A,A,A
128524,1,A,A,A,A,A
128526,1,A,A,A,A,A
128528,1,U,A,A,A,A
128530,1,A,A,A,U,A
128487,1,N,N,N,N,N
128488,1,A,A,A,A,A
128489,1,N,N,N,N,N
128495,1,A,A,A,A,A
128498,1,A,A,A,A,A
128501,1,A,A,A,A,A
128463,1,A,A,A,U,A
128469,1,A,A,A,A,A
128472,1,N,N,N,N,N
128481,1,N,N,N,N,N
128417,1,A,A,A,A,A
128419,1,U,N,N,N,N
128428,1,A,A,A,A,A
128434,1,A,A,A,A,A
128435,1,N,N,N,N,N
128436,1,U,N,N,N,N
128383,1,N,N,N,N,N
128389,1,A,A,A,A,A
128390,1,A,A,A,A,A
128394,1,A,A,A,A,A
128400,1,A,A,A,A,A
128401,1,U,N,N,N,N
128402,1,A,A,A,A,A
128405,1,A,A,A,A,A
128413,1,A,A,A,A,A
128414,1,A,A,A,A,A
128415,1,A,A,A,A,A
128416,1,N,N,N,N,N
128356,1,A,A,A,U,A
128359,1,N,N,N,N,N
128360,1,A,A,A,A,A
128362,1,N,N,N,N,N
128363,1,A,N,N,N,N
128367,1,N,N,N,N,N
128368,1,A,A,A,U,A
128369,1,N,N,N,N,N
128370,1,A,A,A,A,A
128372,1,A,A,A,A,A
128373,1,N,N,N,N,N
128374,1,A,A,A,A,A
128376,1,A,A,A,A,A
128382,1,A,A,A,A,A
128315,1,A,A,A,U,A
128316,1,U,U,A,U,A
128317,1,N,N,N,N,N
128317,2,A,A,A,A,A
128324,1,A,A,A,A,A
128327,1,A,A,A,A,A
128328,1,A,A,A,U,A
128336,1,A,A,A,A,A
128337,1,A,A,A,A,A
128339,1,A,A,A,A,A
128344,1,A,A,A,A,A
128348,1,A,A,A,A,A
128352,1,A,A,A,A,A
128287,1,A,A,A,A,A
128296,1,A,A,A,A,A
128301,1,N,N,N,N,N
128305,1,A,A,A,A,A
128306,1,A,A,A,A,A
128308,1,A,A,A,A,A
128244,1,A,A,A,A,A
128254,1,A,A,A,A,A
128256,1,A,A,A,A,A
128257,1,U,N,N,N,N
128261,1,N,N,N,N,N
128262,1,A,A,A,A,A
128263,1,A,A,A,U,A
128264,1,A,A,A,A,A
128266,1,A,A,A,A,A
128267,1,A,A,A,A,A
128268,1,A,A,A,A,A
128269,1,A,A,A,A,A
128272,1,A,A,A,A,A
128274,1,A,A,A,A,A
128275,1,A,A,A,A,A
128277,1,A,A,A,A,A
128279,1,N,N,N,N,N
128219,1,A,A,A,U,A
128220,1,A,A,A,A,A
128222,1,A,A,A,A,A
128223,1,A,A,A,A,A
128224,1,A,A,A,A,A
128227,1,A,A,A,A,A
128236,1,A,A,A,A,A
127220,1,U,A,A,U,U
127231,1,A,A,A,A,A
127233,1,N,N,N,N,N
127233,2,N,N,N,N,N
127236,1,A,A,A,A,A
127168,1,A,A,A,A,A
127172,1,A,A,A,A,A
127179,1,A,A,A,A,A
127188,1,N,N,N,N,N
127136,1,A,A,A,A,A
127137,1,A,A,A,A,A
127137,2,A,A,A,A,A
127140,1,A,A,A,A,A
127141,1,A,A,A,A,A
127142,1,N,N,N,N,N
127148,1,A,A,A,A,A
127149,1,A,A,A,A,A
127153,1,A,A,A,A,A
127154,1,A,A,A,A,A
127154,2,A,A,A,A,A
127112,1,A,A,A,A,A
127116,1,A,A,A,A,A
127120,1,A,A,A,A,A
127121,1,A,A,A,A,A
127125,1,U,A,A,U,U/S
127095,1,A,A,A,A,A
127096,1,A,A,A,A,A
127097,1,A,A,A,A,A
127098,1,N,N,N,N,N
127107,1,A,A,A,A,A
127057,1,A,A,A,U,A
127061,1,A,A,A,A,A
127069,1,A,A,A,A,A
127072,1,A,A,A,A,A
127075,1,A,A,A,A,A
127092,1,U,A,A,U,U
127093,1,N,N,N,N,N
127039,1,A,A,A,A,A
127040,1,A,A,A,A,A
127043,1,A,A,A,A,A
127051,1,A,A,A,A,A
126998,1,A,A,A,A,A
126999,1,A,A,A,A,A
127004,1,A,A,A,A,A
127006,1,N,N,N,N,N
127019,1,U,N,N,N,N
127023,1,A,A,A,A,A
127029,1,A,A,A,U,A
127031,1,A,A,A,U,A
126981,1,A,A,A,A,A
126983,1,A,A,A,A,A
126985,1,A,A,A,A,A
126992,1,N,N,N,N,N
126960,1,A,A,A,A,A
126961,1,A,A,A,A,A
126963,1,A,A,A,A,A
126966,1,A,A,A,A,A
126967,1,A,A,A,A,A
126971,1,U,A,A,A,A
126973,1,A,A,A,A,A
126975,1,A,A,A,A,A
126951,1,U,N,N,N,N
126915,1,U,N,N,N,N
126918,1,A,A,A,A,A
126881,1,A,A,A,U,A
126882,1,A,A,A,A,A
126908,1,U,A,A,U,U
126909,1,U,A,U,U,U
126864,1,A,A,A,A,A
126867,1,A,A,A,A,A
126874,1,A,A,A,A,A
126876,1,A,A,A,A,A
126832,1,A,A,A,A,A
126835,1,A,A,A,A,A
126842,1,N,N,N,N,N
126846,1,A,A,A,A,A
126847,1,A,A,A,A,A
126848,1,A,A,A,A,A
126852,1,A,A,A,A,A
126853,1,A,A,A,A,A
126854,1,N,N,N,N,N
126856,1,N,N,N,N,N
126861,1,A,A,A,A,A
126793,1,A,A,A,A,A
126796,1,A,A,A,A,A
126799,1,A,A,A,A,A
126800,1,A,A,A,A,A
126801,1,A,A,A,A,A
126802,1,A,A,A,A,A
126810,1,N,N,N,N,N
126812,1,A,A,A,A,A
126821,1,A,A,A,A,A
126822,1,A,A,A,A,A
126823,1,U,A,A,U,U/S
126824,1,N,N,N,N,N
126825,1,A,A,A,A,A
126830,1,A,A,A,A,A
126786,1,A,A,A,A,A
126788,1,A,A,A,A,A
126789,1,N,N,N,N,N
126790,1,U,A,A,U,U/S
126752,1,N,N,N,N,N
126754,1,N,N,N,N,N
126756,1,A,A,A,A,A
126757,1,A,A,A,A,A
126768,1,A,A,A,A,A
126769,1,N,N,N,N,N
126734,1,A,A,A,A,A
126735,1,N,N,N,N,N
126744,1,N,N,N,N,N
126747,1,A,A,A,A,A
126706,1,A,A,A,A,A
126707,1,A,A,A,A,A
126708,1,U,A,U,U,A
126709,1,A,A,A,A,A
126710,1,A,A,A,A,A
126712,1,N,N,N,N,N
126717,1,A,A,A,A,A
126721,1,A,A,A,A,A
126725,1,N,N,N,N,N
126727,1,N,N,N,N,N
126731,1,N,N,N,N,N
126733,1,N,N,N,N,N
126701,1,A,A,A,A,A
126688,1,A,A,A,A,A
126690,1,N,N,N,N,N
126693,1,N,N,N,N,N
126695,1,A,A,A,A,A
126663,1,A,A,A,A,A
126665,1,U,N,N,N,N
126666,1,N,N,N,N,N
126669,1,A,A,A,A,A
126670,1,U,N,N,N,N
126673,1,A,A,A,A,A
126676,1,A,A,A,A,A
126679,1,A,A,A,A,A
126618,1,A,A,A,A,A
126619,1,A,A,A,A,A
126626,1,N,N,N,N,N
126627,1,A,A,A,A,A
126630,1,N,N,N,N,N
126634,1,A,A,A,A,A
126637,1,A,A,A,A,U
126579,1,A,A,A,A,A
126583,1,A,A,A,A,A
126587,1,A,A,A,A,A
126591,1,A,A,A,A,A
126594,1,A,A,A,A,A
126596,1,A,A,A,A,A
126597,1,A,A,A,A,A
126599,1,A,A,A,A,A
126603,1,A,A,A,A,A
126607,1,A,A,A,A,A
126609,1,A,A,A,A,A
126611,1,A,A,A,A,A
126612,1,A,A,A,A,U
126614,1,A,A,A,A,A
126558,1,A,A,A,A,A
126562,1,N,N,N,N,N
126567,1,A,A,A,A,A
126567,2,A,A,A,A,A
126568,1,A,A,A,A,A
126577,1,U,A,A,U,U/S
126526,1,A,A,A,A,A
126527,1,N,N,N,N,N
126531,1,A,A,A,A,A
126532,1,A,A,A,A,A
126536,1,A,A,A,A,A
126538,1,A,A,A,A,A
126545,1,A,A,A,A,A
126550,1,A,A,A,A,A
126551,1,A,A,A,A,A
126553,1,U,A,A,A,U/S
126484,1,A,A,A,A,A
126487,1,A,A,A,A,A
126488,1,A,A,A,A,A
126490,1,A,A,A,A,A
126497,1,A,A,A,A,A
126504,1,U,A,A,A,A
126507,1,A,A,A,A,A
126515,1,A,A,A,A,A
126516,1,A,A,A,U,A
126458,1,A,A,A,A,A
126461,1,N,N,N,N,N
126463,1,A,A,A,A,A
126465,1,A,A,A,A,A
126468,1,N,N,N,N,N
126470,1,N,N,N,N,N
126471,1,A,A,A,A,A
126480,1,A,A,A,A,A
126482,1,A,A,A,A,U
126419,1,N,N,N,N,N
126424,1,A,A,A,A,A
126430,1,A,A,A,A,A
126433,1,A,A,A,A,A
126436,1,A,A,A,A,A
126443,1,U,A,A,U/S,A
126454,1,A,A,A,A,A
126408,1,A,A,A,U,A
126412,1,A,A,A,U,A
126412,2,U,N,N,N,N
126416,1,N,N,N,N,N
126385,1,A,A,A,U,A
126389,1,N,N,N,N,N
126394,1,A,A,A,A,U
126400,1,U,A,A,A,U
126404,1,U,A,A,U,A
126406,1,A,A,A,A,A
126350,1,A,A,A,A,A
126326,1,A,A,A,A,A
126332,1,N,N,N,N,N
126334,1,A,A,A,A,A
126337,1,A,A,A,A,A
126343,1,A,A,A,U,A
126344,1,A,A,A,A,A
126345,1,U,A,A,U,U/S
126285,1,A,A,A,A,A
126288,1,A,A,A,A,A
126290,1,A,A,A,A,A
126291,1,A,A,A,A,A
126293,1,A,A,A,A,A
126299,1,A,A,A,A,A
126302,1,A,A,A,A,A
126303,1,U,A,A,A,A
126304,1,A,A,A,A,A
126313,1,U,A,U/S,A,U/S
126264,1,N,N,N,N,N
126265,1,N,N,N,N,N
126266,1,A,A,A,A,A
126266,2,U,N,N,N,N
126269,1,A,A,A,A,A
126271,1,A,A,A,A,A
126273,1,A,A,A,A,A
126277,1,N,N,N,N,N
126284,1,A,A,A,A,U
126239,1,A,A,A,U,A
126240,1,A,A,A,U,A
126241,1,A,A,A,A,A
126242,1,A,A,A,A,A
126243,1,A,A,A,A,A
126248,1,N,N,N,N,N
126250,1,A,A,A,A,A
126251,1,A,A,A,A,A
126252,1,A,A,A,A,A
126255,1,U,A,A,U,A
126215,1,A,A,A,A,A
126224,1,A,A,A,A,A
126227,1,A,A,A,A,A
126234,1,U,A,A,U,U/S
126237,1,A,A,A,A,A
126195,1,A,A,A,A,A
126198,1,A,A,A,A,A
126206,1,A,A,A,A,U
126207,1,A,A,A,A,A
126208,1,A,A,A,A,A
126211,1,A,A,A,A,A
126213,1,A,A,A,A,A
126171,1,A,A,A,A,A
126179,1,U,U,A,A,U
126130,1,A,A,A,A,A
126136,1,U,N,N,N,N
126141,1,A,A,A,A,A
126158,1,A,A,A,U,A
126162,1,A,A,A,A,A
126163,1,U,N,N,N,N
126165,1,N,N,N,N,N
126166,1,A,A,A,A,A
126166,2,N,N,N,N,N
126168,1,A,A,A,A,A
126099,1,A,A,A,A,A
126108,1,A,A,A,A,A
126110,1,A,A,A,U,A
126111,1,A,N,N,N,N
126112,1,A,A,A,A,A
126113,1,U,A,A,U,U
126122,1,A,A,A,A,A
126093,1,A,A,A,A,A
126065,1,N,N,N,N,N
126069,1,A,A,A,A,A
126072,1,A,A,A,A,A
126074,1,U,A,A,A,U/S
126076,1,A,A,A,A,A
126081,1,A,A,A,A,A
126053,1,N,N,N,N,N
126003,1,A,A,A,A,A
126005,1,U,N,N,N,N
126007,1,A,A,A,A,A
126008,1,A,A,A,A,A
126014,1,A,U,A,A,A
126015,1,A,A,A,A,A
126017,1,A,A,A,A,A
126018,1,A,A,A,A,A
126019,1,A,A,A,A,A
126022,1,A,A,A,A,A
126026,1,A,A,A,A,A
125978,1,A,A,A,A,U
125978,2,A,A,A,A,U
125986,1,A,A,A,A,A
125988,1,A,A,A,A,A
125994,1,A,A,A,U,A
125996,1,U,N,N,N,N
125997,1,A,A,A,A,A
125965,1,A,A,A,A,A
125939,1,A,U,A,A,A
125951,1,A,A,A,U,A
125955,1,A,A,A,A,U
125921,1,A,A,A,A,A
125922,1,A,A,A,A,A
125929,1,A,A,A,A,A
125930,1,A,A,A,A,A
125931,1,A,A,U,A,A
125931,2,U,N,N,N,N
125936,1,A,A,A,A,A
125871,1,A,A,A,A,A
125876,1,A,A,A,U,A
125878,1,A,A,A,A,A
125879,1,A,A,A,U,A
125884,1,A,A,A,A,A
125888,1,A,A,A,A,A
125891,1,A,A,A,A,A
125892,1,A,A,A,A,A
125898,1,A,A,A,A,A
125906,1,A,A,A,A,A
125907,1,A,A,A,A,U
125912,1,A,A,A,A,A
125847,1,N,N,N,N,N
125849,1,A,A,A,A,A
125851,1,A,A,A,A,A
125857,1,A,A,A,U,A
125863,1,A,A,A,U,A
125865,1,A,A,A,A,A
125867,1,A,A,A,A,A
125868,1,A,A,A,A,A
125869,1,A,A,A,A,A
125870,1,U,A,U/S,A,U
125822,1,A,A,A,A,A
125838,1,N,N,N,N,N
125840,1,N,N,N,N,N
125800,1,A,A,A,U,A
125805,1,A,A,A,A,A
125806,1,A,A,A,A,A
125807,1,A,A,A,A,A
125812,1,A,A,A,A,A
125815,1,A,A,A,A,A
125816,1,A,A,A,U,A
125817,1,A,A,A,A,A
125820,1,A,A,A,A,A
125751,1,A,A,A,A,A
125753,1,A,A,A,A,A
125755,1,A,A,A,A,A
125762,1,A,A,A,A,A
125762,2,A,A,A,A,U
125768,1,A,A,A,A,A
125773,1,A,A,A,A,U
125711,1,U,A,U,A,U
125716,1,A,A,A,A,A
125717,1,A,A,A,A,A
125718,1,A,A,A,A,A
125721,1,A,A,A,A,A
125724,1,A,A,A,A,A
125726,1,A,A,A,A,A
125733,1,A,A,A,A,A
125734,1,A,A,A,A,A
125739,1,A,A,A,A,A
125743,1,N,N,N,N,N
125747,1,A,A,A,A,A
125689,1,A,A,A,U,A
125690,1,N,N,N,N,N
125691,1,A,A,A,U,A
125704,1,A,A,A,A,A
125669,1,A,A,A,A,U
125674,1,A,A,A,A,A
125677,1,A,A,A,A,A
125677,2,N,N,N,N,N
125679,1,A,A,A,A,A
125682,1,A,A,A,A,A
125685,1,A,A,A,A,A
125620,1,A,A,A,U,A
125621,1,A,A,A,A,A
125623,1,A,A,A,U,A
125628,1,A,A,A,A,A
125631,1,A,A,A,A,A
125631,2,A,A,A,A,A
125641,1,A,A,A,A,A
125643,1,N,N,N,N,N
125662,1,A,A,A,A,A
125665,1,A,N,N,N,N
125668,1,A,A,A,A,A
125579,1,U,U/S,A,U,A
125584,1,N,N,N,N,N
125586,1,A,A,A,A,U
125587,1,N,N,N,N,N
125589,1,U,A,A,A,U/S
125595,1,A,A,A,A,A
125599,1,N,N,N,N,N
125600,1,A,A,A,A,A
125528,1,A,A,A,A,A
125531,1,A,A,A,U,A
125532,1,A,A,A,A,A
125538,1,U,N,N,N,N
125540,1,A,A,A,A,A
125542,1,A,A,A,A,A
125548,1,A,A,A,A,A
125566,1,A,A,A,A,A
125567,1,A,A,A,A,A
125571,1,A,A,A,A,A
125572,1,N,N,N,N,N
125573,1,A,A,A,A,A
125574,1,A,A,A,U,A
125575,1,A,A,A,A,A
125506,1,A,A,A,A,A
125508,1,A,A,A,A,A
125513,1,A,A,A,A,A
125469,1,A,A,A,U,A
125475,1,A,A,A,A,A
125476,1,U,A,A,A,U/S
125477,1,A,A,A,A,A
125481,1,A,A,A,A,A
125484,1,A,A,A,A,A
125489,1,A,A,A,U,A
125493,1,A,A,A,A,A
125494,1,A,A,A,A,A
125441,1,A,A,A,U,A
125448,1,U,N,N,N,N
125451,1,U,N,N,N,N
125453,1,A,A,A,A,A
125454,1,A,A,A,A,A
125460,1,N,N,N,N,N
125464,1,A,A,A,A,A
125464,2,N,N,N,N,N
125412,1,A,A,A,A,A
125414,1,A,A,A,A,A
125416,1,A,A,A,A,A
125420,1,A,A,A,A,A
125422,1,A,A,A,A,A
125422,2,A,A,A,A,A
125426,1,A,A,A,A,A
125427,1,A,A,A,A,A
125431,1,A,A,A,A,A
125431,2,A,A,A,A,A
125432,1,A,A,A,A,U
125436,1,A,A,A,A,A
125377,1,A,A,A,A,A
125379,1,A,A,A,A,A
125383,1,A,A,A,A,A
125384,1,A,A,A,A,A
125388,1,A,A,A,A,A
