name,maintenance_funding,designated_private_funding,acreage,amenities,borough,athletic_facilities,beaches,comfort_stations,natural_areas,playgrounds,trails
Playground Twenty One,3872,0,1.44,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Prospect Playground,4532,0,1.44,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
Woods Playground,46784,0,1.44,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Almeda Playground,7720,0,1.43,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Gaeta Park,3984,0,1.43,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Staten Island,1,1,1,1,1,1
Glenwood Playground,26941,0,1.43,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Mall Forty Two XLII,6711,0,1.43,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Norelli-Hargreaves Playground,6464,0,1.43,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Sheltering Arms Playground,121446,0,1.43,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Manhattan,1,1,1,1,1,1
Bildersee Playground,29490,0,1.42,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
MacDonald Park,24560,0,1.42,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Pulaski Playground,22609,0,1.42,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Owen F. Dolen Park,11453,0,1.4,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
Van Dyke Playground,12440,0,1.4,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Williamsbridge Square,31461,0,1.4,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
Dome Playground,10463,0,1.3900000000000001,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
People's Park,13793,0,1.3900000000000001,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
Arcilla Playground,13906,0,1.3800000000000001,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
Dimattina Playground,8952,0,1.3800000000000001,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Fountain Of Youth Playground,9158,0,1.3800000000000001,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
Howard Von Dohlen Playground,13075,0,1.3800000000000001,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Lieutenant John H. Martinson Playground,41184,0,1.3800000000000001,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Staten Island,1,1,1,1,1,1
Nautilus Playground,22329,0,1.3800000000000001,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
St. Catherine's Park,70871,0,1.3800000000000001,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Manhattan,1,1,1,1,1,1
Castle Hill Playground,23965,0,1.37,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
Crack Is Wack Playground,15437,0,1.37,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Manhattan,1,1,1,1,1,1
Hillside Dog Park,2943,0,1.37,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Lt. Lia Playground,14083,0,1.37,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Staten Island,1,1,1,1,1,1
Martinez Playground,9984,0,1.37,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Playground One Forty,8310,0,1.37,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Russell Pedersen Playground,31305,0,1.37,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Adam Yauch Park,8540,0,1.36,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Admiral Farragut Playground,5455,0,1.36,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
Dr. Ronald McNair Park,9497,0,1.36,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Hope Ballfield,16152,0,1.36,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Austin J. McDonald Playground,5640,0,1.35,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Staten Island,1,1,1,1,1,1
Fresh Meadows Playground,9525,0,1.35,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Playground Eighty LXXX,10660,0,1.35,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Classon Playground,9242,0,1.34,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Printers Park,13348,0,1.34,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
Renaissance Playground,42955,0,1.34,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Manhattan,1,1,1,1,1,1
Marc And Jason's Playground,46598,0,1.33,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Remsen Playground,10048,0,1.33,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Broadway Malls,10988,0,1.1400000000000001,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Manhattan,1,1,1,1,1,1
Agnes Haywood Playground,6045,0,1.32,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
Ampere Playground,26579,0,1.32,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Lyons Square Playground,9001,0,1.32,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
Marion Hopkinson Playground,19327,0,1.32,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Potomac Playground,28936,0,1.32,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Veterans Park,10144,0,1.32,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Staten Island,1,1,1,1,1,1
Broadway Malls,19225,0,1.3,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Manhattan,1,1,1,1,1,1
Detective Joseph Mayrose Park,10946,0,1.31,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Equity Playground,43555,0,1.31,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Paul Raimonda Playground,10676,0,1.31,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Prall Playground,9626,0,1.31,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Staten Island,1,1,1,1,1,1
Briarwood Playground,8723,0,1.3,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Dean Playground,52376,0,1.3,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Horace Harding Playground,28437,0,1.3,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Seven Gables Playground,4140,0,1.3,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Triborough Bridge Playground B,16215,0,1.3,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Bushwick Playground,80506,0,1.29,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Dongan Playground,14161,0,1.29,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Staten Island,1,1,1,1,1,1
East River Playground,49970,0,1.29,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Manhattan,1,1,1,1,1,1
Little Flower Playground,15021,0,1.29,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Manhattan,1,1,1,1,1,1
Samuel H. Young Park,958,0,1.29,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
Bailey Playground,31260,0,3.53,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
Bowne Playground,2256,0,1.28,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Murphy Brothers Playground,10591,0,1.28,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Manhattan,1,1,1,1,1,1
Rudd Playground,15453,0,1.28,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Space Time Playground,29196,0,1.28,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
Willow Lake Playground,21828,0,1.28,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Cooney Grauer Field,1958,0,1.27,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
Emerald Playground,13738,0,1.27,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Wagner Playground,9104,2500,1.27,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Manhattan,1,1,1,1,1,1
Charlie's Place,11111,0,1.26,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Greene Playground,40365,0,1.26,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Pelham Bay Little League,2331,0,1.26,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
Albert J. Parham Playground,52667,0,1.25,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Playground Ninety,22256,0,1.25,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Tanahey Playground,7796,0,1.25,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Manhattan,1,1,1,1,1,1
Winthrop Playground,31043,0,1.25,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Annunciation Playground,14074,0,1.24,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Manhattan,1,1,1,1,1,1
Gonzalo Plasencia Playground,14432,0,1.24,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Grassmere Playground,5253,0,1.24,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Heckscher Playground,31556,0,1.24,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Neptune Playground,6154,0,1.24,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Queensboro Oval,4629,0,1.24,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Manhattan,1,1,1,1,1,1
Brighton Playground,39719,0,1.23,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Chappetto Square,6707,0,1.23,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Fresh Meadows Park,1231,0,1.23,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Howard Bennett Playground,45463,0,1.23,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Manhattan,1,1,1,1,1,1
Patrick O'Rourke Playground,12808,0,1.23,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Rienzi Playground,20777,0,1.23,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
Roebling Playground,33142,0,1.23,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Stanley Isaacs Playground,96324,0,1.23,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Manhattan,1,1,1,1,1,1
Nelson Playground,18498,0,1.22,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
Bayside Playground,4707,0,1.21,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Bayview Playground,9325,0,1.21,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Eleanor Roosevelt Playground,58833,0,1.21,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Francis Lewis Playground,8653,0,1.21,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Magenta Playground,15874,0,1.21,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
Murray Hill Playground,5329,0,1.21,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Tiffany Playground,19244,0,1.21,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
Daniel Boone Playground,16573,0,1.2,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
Hattie Carthan Playground,36126,0,1.2,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Hilton Holiday Gardens,3908,0,1.2,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Korean War Veterans Plaza,10142,0,1.2,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Maurice A Fitzgerald Playground,37098,0,1.2,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Grove Hill Playground,10651,0,1.1900000000000002,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
Lafayette Playground,7837,0,1.1900000000000002,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
South Oxford Park,5468,0,1.1900000000000002,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Stroud Playground,10743,0,1.1900000000000002,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Tilden Playground,22972,0,1.1900000000000002,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Underwood Park,42328,0,1.1900000000000002,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Oakland Gardens,9229,0,1.1700000000000002,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Steuben Playground,7404,0,1.1700000000000002,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
William Sheridan Playground,12404,0,1.1700000000000002,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Bath Playground,14117,0,1.1600000000000001,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Cuyler Gore Park,9725,0,1.1600000000000001,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Ehrenreich-Austin Playground,19501,25000,1.1600000000000001,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Hillside Playground,6688,0,1.1600000000000001,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Sitting Area,5468,0,1.1600000000000001,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
University Place,420,0,1.1600000000000001,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
"""Uncle"" Vito F. Maranzano Glendale Playground",9507,0,1.1500000000000001,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Christopher J. Igneri Playground,51500,0,1.1500000000000001,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Staten Island,1,1,1,1,1,1
East Springfield Playground,21892,0,1.1500000000000001,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Police Officer Nicholas Demutiis Park,41468,0,1.1500000000000001,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Rappaport Playground,23300,0,1.1500000000000001,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Willets Point Playground,3117,0,1.1500000000000001,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Corporal John A. Seravalli Playground,9629,0,1.1400000000000001,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Manhattan,1,1,1,1,1,1
Poppenhusen Playground,14255,0,1.1400000000000001,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Seaside Playground,84234,0,1.1400000000000001,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Sobel Court Park,6013,0,1.1400000000000001,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Staten Island,1,1,1,1,1,1
Wagner Houses Pool,19226,0,1.6400000000000001,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Manhattan,1,1,1,1,1,1
D'Emic Playground,14324,0,1.1300000000000001,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Fidler-Wyckoff House Park,5682,0,1.1300000000000001,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Westbourne Playground,80837,0,1.1300000000000001,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
E.M.T. Christopher J. Prescott Playground,9608,0,1.12,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Staten Island,1,1,1,1,1,1
Lopez Playground,8062,0,1.12,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Staten Island,1,1,1,1,1,1
Hugh J. Grant Circle,26871,0,1.11,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
De Hostos Playground,16020,0,1.1,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Hilltop Playground,13218,0,1.1,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Middleton Playground,12731,0,1.1,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Wakefield Playground,18484,0,1.1,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
,13918,0,1.3900000000000001,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",,1,1,1,1,1,1
Jacob's Ladder Playground,6789,0,1.09,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Louis Armstrong Playground,25508,0,1.09,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Robert Moses Playground,11679,0,1.09,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Manhattan,1,1,1,1,1,1
Stockton Playground,13621,0,1.09,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Flushing Greens,3144,0,1.08,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Latimer Playground,7994,0,1.08,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Great Kills Veterans Playground,7986,0,1.07,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Staten Island,1,1,1,1,1,1
Marlboro Playground,11891,0,1.07,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
North Rochdale Playground,23383,0,1.07,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Ericsson Playground,36222,0,1.06,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Fermi Playground,29951,0,1.06,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Mellett Playground,41955,0,1.06,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Telephone Playground,13494,0,1.06,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Beach Channel Playground,6899,0,1.05,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Bruckner Playground,6951,0,1.05,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
James Weldon Johnson Playground,7540,0,1.05,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Manhattan,1,1,1,1,1,1
L/CPL Thomas P. Noonan Jr. Playground,65054,0,1.05,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Lozada Playground,11261,0,1.05,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
Millbrook Playground,13570,0,1.05,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
Playground 103 CIII,6009,0,1.05,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Manhattan,1,1,1,1,1,1
Rocket Playground,20447,0,1.05,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Sedgwick Playground,6773,0,1.05,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
Springfield Park North,25809,0,1.05,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Fish Playground,15360,0,1.04,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Nicholas Naquan Heyward Jr. Park,26231,0,1.04,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Planeview Park,3040,0,1.04,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Bartlett Playground,42746,0,1.03,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Eastchester Playground,12532,0,1.03,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Bronx,1,1,1,1,1,1
Gilbert Ramirez Park,8913,0,1.03,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Hammel Playground,87155,0,1.03,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
Oxport Playground,6261,0,1.03,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Brooklyn,1,1,1,1,1,1
Sunrise Playground,3668,0,1.03,"Athletic Facilities, Beaches, Comfort Stations, Natural Areas, Playgrounds, Trails",Queens,1,1,1,1,1,1
