prop_name,borough,longitude,latitude,fountain_type,feature_status,boro
Flynn Playground,X,-73.911713,40.820873,C,Active,Bronx
Soundview Park,X,-73.873563,40.81947,A,Active,Bronx
Linden Park,B,-73.887435,40.657974,A,Active,B
Central Park,M,-73.971184,40.772038,E and Dog,Active,M
Ditmars Playground,Q,-73.9074,40.771423,A,Active,Q
Msgr. McGolrick Park,B,-73.943516,40.724788,A,Active,B
Bushwick Playground,B,-73.911709,40.695839,C,Active,B
Reiff Playground,Q,-73.901523,40.718143,C,Active,Q
Roberto Clemente Ballfield,B,-73.967207,40.70623,D,Active,B
Juniper Valley Park,Q,-73.877347,40.720434,A,Active,Q
Franklin D. Roosevelt Boardwalk and Beach,R,-74.077724,40.578856,E,Active,R
Clove Lakes Park,R,-74.107337,40.618224,Drinking Fountain Sink Combination,Active,R
Wingate Park,B,-73.944641,40.659255,Indoor Drinking Fountain,Active,B
Springfield Park,Q,-73.762667,40.65979,D,Active,Q
Commodore Barry Park,B,-73.979084,40.697534,A,Active,B
Riverside Park South,M,-73.993183,40.773792,D,Active,M
Kaltenmeier Playground,R,-74.068563,40.614849,A,Active,R
Samuel Seabury Playground,M,-73.950933,40.785453,E High Low,Active,M
Horace Harding Playground,Q,-73.860953,40.733428,A,Active,Q
Frank D. O'Connor Playground,Q,-73.886413,40.744112,D,Active,Q
"Phil ""Scooter"" Rizzuto Park",Q,-73.821166,40.694736,A,Active,Q
Bushwick Inlet Park,B,-73.960596,40.721913,Indoor Drinking Fountain,Active,B
Franklin D. Roosevelt Boardwalk and Beach,R,-74.09114,40.567928,A,Active,R
Millbrook Playground,X,-73.916449,40.804297,Bottle Filler,Active,Bronx
Bloomingdale Park,R,-74.20835,40.535104,D,Active,R
Millbrook Playground,X,-73.916544,40.804086,Bottle Filler High Low,Active,Bronx
Bay Terrace Playground,Q,-73.777272,40.782301,A,Active,Q
Noble Playground,X,-73.871778,40.836738,A,Active,Bronx
Fort Tryon Park,M,-73.930287,40.863806,Stone,Active,M
Moore Playground,M,-73.938724,40.809472,D,Active,M
Faber Pool and Park,R,-74.135357,40.641012,CS Metal,Active,R
Riverside Park,M,-73.97167,40.802149,B,Active,M
St. Michael's Playground,Q,-73.900435,40.759576,C,Active,Q
Flushing Meadows Corona Park,Q,-73.861936,40.765514,C,Active,Q
Van Cortlandt Park,X,-73.898504,40.886834,E,Active,Bronx
St. Nicholas Park,M,-73.948989,40.815526,D,Active,M
Underwood Park,B,-73.966717,40.688838,CS Concrete,Active,B
Ewen Park,X,-73.909341,40.882759,E High Low,Active,Bronx
Flushing Meadows Corona Park,Q,-73.836415,40.747166,A,Active,Q
Robert E. Venable Park,B,-73.86575,40.674614,C,Active,B
Collect Pond Park,M,-74.001724,40.716021,F,Active,M
Prospect Park,B,-73.973706,40.666899,Indoor Drinking Fountain,Active,B
Arverne Playground,Q,-73.785263,40.592988,A,Active,Q
Gouverneur Playground,X,-73.903302,40.835804,C,Active,Bronx
Harvey Park,Q,-73.822784,40.783751,A,Active,Q
Silver Lake Park,R,-74.09159,40.628598,A,Active,R
John Allen Payne Playground,B,-74.023706,40.639604,Bottle Filler High Low,Active,B
Laurelton Playground,Q,-73.736306,40.670439,C,Active,Q
Coney Island Beach & Boardwalk,B,-73.959337,40.575054,E,Active,B
Randall's Island Park,M,-73.918884,40.794434,Pedestal,Active,M
Franklin D. Roosevelt Boardwalk and Beach,R,-74.083064,40.574242,A,Active,R
Latimer Playground,Q,-73.785982,40.696491,D,Active,Q
Jackie Robinson Park Playground,B,-73.927312,40.680015,A,Active,B
Travers Park,Q,-73.889626,40.753643,Bottle Filler High Low,Active,Q
Flynn Playground,X,-73.911891,40.820898,A,Active,Bronx
Battery Park City,M,-74.016726,40.715772,Other,Active,M
Alley Pond Park,Q,-73.742136,40.743189,A,Active,Q
St. Mary's Park,X,-73.914103,40.811468,Indoor Drinking Fountain,Active,Bronx
Central Park,M,-73.976386,40.766243,B,Active,M
Washington Square Park,M,-73.998191,40.730763,E,Active,M
Tony Dapolito Recreation Center,M,-74.005434,40.729629,Indoor Drinking Fountain,Active,M
Dome Playground,B,-73.980144,40.638098,E,Active,B
Sherman Creek,M,-73.918558,40.860203,D,Active,M
Central Park,M,-73.951544,40.797433,Pedestal Wall,Active,M
Bergen Beach Playground,B,-73.909578,40.622537,Bottle Filler High Low,Active,B
St. Mary's Park,X,-73.911248,40.809084,A,Active,Bronx
Riverdale Playground,X,-73.914262,40.887359,A,Active,Bronx
Davidson Playground,X,-73.9077,40.854981,C,Active,Bronx
Parade Ground,B,-73.966093,40.6528,A,Active,B
Van Dyke Playground,B,-73.90407,40.664452,A,Active,B
Gertrude Ederle Recreation Center,M,-73.98874,40.771458,Indoor Drinking Fountain,Active,M
Thomas Jefferson Park,M,-73.936034,40.793544,A,Active,M
Marine Park,B,-73.932804,40.604776,A,Active,B
Patrick O'Rourke Playground,B,-74.014357,40.619144,F High Low,Active,B
Highland Park,Q,-73.885552,40.684077,A,Active,Q
Flushing Meadows Corona Park,Q,-73.845185,40.744147,D,Active,Q
Red Hook Recreation Area,B,-74.008028,40.672706,A,Active,B
Epiphany Playground,B,-73.96573,40.708511,A,Active,B
Prospect Park,B,-73.973706,40.666899,Food Prep Sink,Active,B
Fountain Of Youth Playground,X,-73.905334,40.813527,D,Active,Bronx
Rockaway Beach and Boardwalk,Q,-73.795695,40.587173,Trough,Active,Q
Railroad Park,X,-73.915336,40.824982,G,Active,Bronx
Central Park,M,-73.971305,40.767631,Bottle Filler Fountain,Active,M
Louis Pasteur Park,Q,-73.734925,40.762135,A,Active,Q
Bath Playground,B,-73.992996,40.595401,D,Active,B
Paerdegat Park,B,-73.938036,40.637817,C,Active,B
Rockaway Garage,Q,-73.802989,40.592171,Indoor Drinking Fountain,Active,Q
Cherry Tree Park,M,-73.94727,40.787168,CS Concrete,Active,M
Wagner Houses Pool,M,-73.932695,40.801833,Indoor Drinking Fountain,Active,M
Rev. T. Wendell Foster Park and Recreation Center,X,-73.925245,40.831793,Indoor Drinking Fountain,Active,Bronx
Mahoney Playground,R,-74.086141,40.643234,C,Active,R
Beanstalk Playground,X,-73.916661,40.853845,C,Active,Bronx
Harding Park,X,-73.856824,40.80955,C,Active,Bronx
Redfern Playground,Q,-73.749759,40.611102,D,Active,Q
Conference House Park,R,-74.254196,40.505525,Food Prep Sink,Active,R
Sherman Creek,M,-73.9171,40.862003,D,Active,M
Central Park,M,-73.971305,40.767631,Food Prep Sink,Active,M
Sherry Dog Run,Q,-73.899036,40.741177,Pedestal High Low and Dog,Active,Q
Grace Playground,B,-73.894633,40.671031,A,Active,B
Heckscher Playground,B,-73.918189,40.695306,Bottle Filler Fountain,Active,B
Fort Greene Park,B,-73.974731,40.692223,Food Prep Sink,Active,B
Rock Garden Park,X,-73.884937,40.835593,C,Active,Bronx
Riverside Park,M,-73.975134,40.797173,B,Active,M
Flushing Meadows Corona Park,Q,-73.849372,40.751336,Indoor Drinking Fountain,Active,Q
St. Mary's Park,X,-73.914103,40.811468,Food Prep Sink,Active,Bronx
Frederick Douglass Playground,M,-73.967709,40.797367,A,Active,M
Alexander Hamilton Playground,M,-73.951415,40.823006,D,Active,M
Sara D. Roosevelt Park,M,-73.994081,40.716719,Indoor Drinking Fountain,Active,M
Pelham Bay Park,X,-73.800725,40.858217,A,Active,Bronx
Canarsie Park,B,-73.894477,40.628052,A,Active,B
P.O. Reinaldo Salgado Playground,B,-73.925909,40.68771,C,Active,B
Glen Oaks Oval,Q,-73.714939,40.749456,A,Active,Q
Sledge Playground,B,-73.897685,40.638116,E,Active,B
Freshkills Park,R,-74.194745,40.561803,Pedestal,Active,R
Cedar Playground,X,-73.917938,40.854824,E High Low,Active,Bronx
Baisley Pond Park,Q,-73.784026,40.67599,C,Active,Q
St. John's Park,B,-73.933543,40.674831,E,Active,B
Brooklyn Botanic Garden,B,-73.964833,40.669615,A,Active,B
Central Park,M,-73.968375,40.784689,B,Active,M
